,Name,Salon Name,Followers,Most Popular Post Text,Likes
49,Eunwoo Lee,Salon 14,16790,Sleek and shiny hair 💇‍♀️,6223
50,Hyejin Park,Salon 26,32506,Hair treatment tips!,8412
51,Dasom Shin,Salon 42,11112,Gorgeous waves 🌊,6283
52,Jihun Park,Salon 32,30342,Bold new look 🔥,1647
53,Jihun Shin,Salon 29,42442,Salon day fun ✨,2752
54,Taeyang Shin,Salon 30,12723,"Classic bob, reimagined.",1060
55,Taeyang Park,Salon 7,46396,How to maintain curls 🌟,6896
56,Minji Park,Salon 31,44316,"Classic bob, reimagined.",2329
57,Hyejin Kang,Salon 9,19485,How to maintain curls 🌟,3070
58,Eunwoo Choi,Salon 36,46653,"Classic bob, reimagined.",4432
59,Hyejin Park,Salon 50,39368,How to maintain curls 🌟,2523
60,Gyuri Moon,Salon 2,11119,How to maintain curls 🌟,9763
61,Taeyang Im,Salon 49,27792,Amazing hair transformation!,4401
62,Soyeon Yoon,Salon 27,33451,How to maintain curls 🌟,2417
63,Minji Jung,Salon 12,29263,Hair treatment tips!,8859
64,Taeyang Lee,Salon 42,46952,Sleek and shiny hair 💇‍♀️,6301
65,Hyejin Im,Salon 10,22228,Gorgeous waves 🌊,1787
66,Soyeon Lee,Salon 47,14435,Salon day fun ✨,7447
67,Taeyang Choi,Salon 22,42236,Sleek and shiny hair 💇‍♀️,2587
68,Dasom Park,Salon 27,36816,"Classic bob, reimagined.",5807
69,Jihun Kang,Salon 28,13748,Salon day fun ✨,5507
70,Yeji Im,Salon 21,45482,Gorgeous waves 🌊,6815
71,Taeyang Im,Salon 14,7738,Amazing hair transformation!,7038
72,Seojun Moon,Salon 13,45501,Sleek and shiny hair 💇‍♀️,5767
73,Gyuri Park,Salon 7,7709,Sleek and shiny hair 💇‍♀️,2769
74,Minji Jung,Salon 7,5559,Bold new look 🔥,5591
75,Soyeon Jung,Salon 48,25926,"Classic bob, reimagined.",2175
76,Jihun Park,Salon 38,15060,Salon day fun ✨,2322
77,Minji Yoon,Salon 38,33836,Bold new look 🔥,4502
78,Soyeon Yoon,Salon 42,31489,Gorgeous waves 🌊,4684
79,Taeyang Kang,Salon 2,39781,Salon day fun ✨,9665
80,Yeji Yoon,Salon 32,40177,How to maintain curls 🌟,8411
81,Dasom Kim,Salon 34,43510,"Classic bob, reimagined.",5438
82,Jihun Kang,Salon 36,23649,Salon day fun ✨,7770
83,Gyuri Lee,Salon 30,8886,Bold new look 🔥,1030
84,Seojun Kang,Salon 5,38361,Salon day fun ✨,5701
85,Eunwoo Lee,Salon 33,32346,Salon day fun ✨,2773
86,Eunwoo Kang,Salon 18,12540,"Classic bob, reimagined.",7386
87,Taeyang Shin,Salon 1,37051,Bold new look 🔥,2621
88,Soyeon Jung,Salon 17,27871,Gorgeous waves 🌊,8256
89,Hyejin Lee,Salon 29,36075,Salon day fun ✨,7020
90,Soyeon Choi,Salon 35,7214,Sleek and shiny hair 💇‍♀️,609
91,Eunwoo Im,Salon 25,16751,"Classic bob, reimagined.",4689
92,Soyeon Yoon,Salon 40,23294,Salon day fun ✨,9621
93,Minji Choi,Salon 3,10869,Bold new look 🔥,3507
94,Dasom Moon,Salon 2,24343,Salon day fun ✨,6982
95,Hyejin Kang,Salon 40,43395,Amazing hair transformation!,3267
96,Jihun Im,Salon 8,34705,Gorgeous waves 🌊,5932
97,Minji Shin,Salon 40,44189,How to maintain curls 🌟,532
98,Minji Moon,Salon 17,19232,Bold new look 🔥,1664
99,Seojun Choi,Salon 12,11679,Amazing hair transformation!,1264
